store_location_id,company_id,position,country,state,latitude,longitude,localization,status,main_destination_id,pickup_destinations_ids,shopNumber,old_slid,is_warehouse,city_id,is_kik,is_pickup,shopFormat,lang_code,name,description,city,pickup_address,pickup_phone,pickup_time,meta_title,meta_description,time_delivery,name_sort,country_title,id,text
226,1,1,UA,30,50.50108,30.60991,,A,10,10,226,27,N,9825,N,N,СТАНДАРТ,uk,"вул. Закревського Миколи, 29",,Київ,,380671413891,ПН - НД 8:00 - 21:00,,,3,,Україна,226,"Аврора #226 Київ, вул. Закревського Миколи, 29"
229,1,10100,UA,30,50.491965,30.602201,,A,10,10,229,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Кибальчича Миколи, 19-В",,Київ,,380972018500,ПН - НД 8:00 - 21:00,,,3,,Україна,229,"Аврора #229 Київ, вул. Кибальчича Миколи, 19-В"
679,1,5980,UA,32,50.460999,30.483765,,A,10,10,679,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Січових Стрільців, 103-105",,Київ,,380671768867,ПН - НД 8:00 - 21:00,,,3,,Україна,679,"Аврора #679 Київ, вул. Січових Стрільців, 103-105"
684,1,190,UA,30,50.504902,30.450798,,A,10,10,684,47,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Вишгородська, 33",,Київ,,380671418109,ПН - НД 8:00 - 21:00,,,3,,Україна,684,"Аврора #684 Київ, вул. Вишгородська, 33"
740,1,1510,UA,30,50.44345,30.628131,,A,10,10,740,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Сосюри, 3",,Київ,,380671417917,ПН - НД 8:00 - 21:00,,,3,,Україна,740,"Аврора #740 Київ, вул. Сосюри, 3"
767,1,5970,UA,32,50.41771,30.39409,,A,10,10,767,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Івана Дзюби, 17",,Київ,,380671506137,ПН - НД 8:00 - 21:00,,,3,,Україна,767,"Аврора #767 Київ, вул. Івана Дзюби, 17"
887,1,8870,UA,30,50.5073,30.4406,,A,10,10,887,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Западинська, 15",,Київ,,380671768699,ПН - НД 8:00 - 21:00,,,3,,Україна,887,"Аврора #887 Київ, вул. Западинська, 15"
903,1,2760,UA,30,50.4948464,30.5817601,,A,10,10,903,0,N,9825,Y,Y,СТАНДАРТ,uk,"проспект Романа Шухевича , 12",,Київ,,380671181425,ПН - НД 8:00 - 21:00,,,3,,Україна,903,"Аврора #903 Київ, проспект Романа Шухевича , 12"
936,1,5960,UA,32,50.476796,30.405528,,A,10,10,936,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Щербаківського Данила, 55",,Київ,,380671768942,ПН - НД 8:00 - 21:00,,,3,,Україна,936,"Аврора #936 Київ, вул. Щербаківського Данила, 55"
976,1,8650,UA,30,50.38312,30.4807,,A,10,10,976,0,N,9825,Y,Y,СТАНДАРТ,uk,"просп. Голосіївський, 128-А",,Київ,,380671045608,ПН - НД 8:00 - 21:00,,,3,,Україна,976,"Аврора #976 Київ, просп. Голосіївський, 128-А"
