store_location_id,company_id,position,country,state,latitude,longitude,localization,status,main_destination_id,pickup_destinations_ids,shopNumber,old_slid,is_warehouse,city_id,is_kik,is_pickup,shopFormat,lang_code,name,description,city,pickup_address,pickup_phone,pickup_time,meta_title,meta_description,time_delivery,country_title,id,text
2,1,2410,UA,68,49.191355,26.835622,,A,10,10,2,0,N,27468,N,Y,СТАНДАРТ,uk,"вул. Хмельницька, 10",,Ярмолинці,,380675079318,ПН - НД 8:00 - 21:00,,,3,Україна,2,"Аврора #2 Ярмолинці, вул. Хмельницька, 10"
3,1,6170,UA,59,50.47018,34.96003,,A,10,10,3,0,N,24675,N,Y,СТАНДАРТ,uk,"вул. Благовіщенська, 22",,Тростянець,,380675762254,ПН - НД 7:00 - 21:00,,,3,Україна,3,"Аврора #3 Тростянець, вул. Благовіщенська, 22"
4,1,330,UA,53,49.574571,34.507404,,A,10,10,4,61,N,19657,Y,Y,СТАНДАРТ,uk,"бульв. Євгена Коновальця, 4/2","<p>Доставка 3-5 дні</p>
",Полтава,,380675400472,ПН - НД 8:00 - 21:00,,,3,Україна,4,"Аврора #4 Полтава, бульв. Євгена Коновальця, 4/2"
5,1,2090,UA,59,50.746597,33.489347,,A,10,10,5,0,N,21074,N,Y,СТАНДАРТ,uk,"вул. Руденка, 22/5",,Ромни,,380675039941,ПН - НД 7:00 - 21:00,,,3,Україна,5,"Аврора #5 Ромни, вул. Руденка, 22/5"
6,1,5430,UA,74,51.493929,31.292076,,A,10,10,6,0,N,26230,N,Y,СТАНДАРТ,uk,"вул. Ринкова, 1",,Чернігів,,380671768566,ПН - НД 8:00 - 20:00,,,3,Україна,6,"Аврора #6 Чернігів, вул. Ринкова, 1"
7,1,7470,UA,53,49.064631,33.418272,,A,10,10,7,0,N,11352,N,Y,СТАНДАРТ,uk,"вул. Первомайська, 43-А",,Кременчук,,380675408727,ПН - НД 7:00 - 21:00,,,3,Україна,7,"Аврора #7 Кременчук, вул. Первомайська, 43-А"
9,1,7450,UA,53,49.569286,34.576676,,A,10,10,9,0,N,19657,Y,Y,СТАНДАРТ,uk,"вул. Чураївни, 3/2",,Полтава,,380675314500,ПН - НД 9:00 - 20:00,,,3,Україна,9,"Аврора #9 Полтава, вул. Чураївни, 3/2"
10,1,6180,UA,59,50.92211,34.806034,,A,10,10,10,0,N,23743,N,Y,СТАНДАРТ,uk,"просп. Тараса Шевченка, 2",,Суми,,380675429567,ПН - НД 8:00 - 21:00,,,3,Україна,10,"Аврора #10 Суми, просп. Тараса Шевченка, 2"
11,1,6190,UA,59,50.911224,34.795407,,A,10,10,11,0,N,23743,N,Y,СТАНДАРТ,uk,"вул. 1-а Набережна Ріки Стрілки, 8",,Суми,,380675400093,ПН - НД 7:00 - 20:00,,,3,Україна,11,"Аврора #11 Суми, вул. 1-а Набережна Ріки Стрілки, 8"
12,1,7490,UA,53,49.091075,33.428827,,A,10,10,12,0,N,11352,N,Y,СТАНДАРТ,uk,"просп. Свободи, 55",,Кременчук,,380675314100,ПН - ПТ 9:00 - 19:00  СБ - НД 9:00 - 18:00,,,3,Україна,12,"Аврора #12 Кременчук, просп. Свободи, 55"
13,1,750,UA,56,50.639431,26.266934,,A,10,10,13,0,N,20702,N,Y,СТАНДАРТ,uk,"вул. Євгена Коновальця, 2",,Рівне,,380674450632,ПН - НД 8:00 - 21:00,,,3,Україна,13,"Аврора #13 Рівне, вул. Євгена Коновальця, 2"
15,1,6210,UA,59,50.94211,34.7791,,A,10,10,15,0,N,23743,N,Y,СТАНДАРТ,uk,"просп. Перемоги, 105",,Суми,,380675309437,ПН - НД 8:00 - 21:00,,,3,Україна,15,"Аврора #15 Суми, просп. Перемоги, 105"
16,1,9690,UA,65,46.62828,32.44413,,A,10,10,16,0,N,1227,N,Y,СТАНДАРТ,uk,"вул. Свободи, 86-А",,Білозерка,,380671392574,ПН - НД 8:00 - 18:00,,,3,Україна,16,"Аврора #16 Білозерка, вул. Свободи, 86-А"
17,1,4020,UA,12,48.474047,35.020058,,A,10,10,17,0,N,6562,N,Y,СТАНДАРТ,uk,"просп. Дмитра Яворницького, 117-А",,Дніпро,,380675424526,ПН - НД 7:00 - 17:00,,,3,Україна,17,"Аврора #17 Дніпро, просп. Дмитра Яворницького, 117-А"
20,1,7570,UA,53,49.583784,34.548451,,A,10,10,20,0,N,19657,Y,Y,СТАНДАРТ,uk,"вул. Європейська, 24-Б",,Полтава,,380671031694,ПН - НД 7:00 - 21:00,,,3,Україна,20,"Аврора #20 Полтава, вул. Європейська, 24-Б"
21,1,6220,UA,59,50.303693,34.893003,,A,10,10,21,0,N,17977,N,Y,СТАНДАРТ,uk,"вул. Незалежності, 13",,Охтирка,,380671768597,ПН - НД 8:00 - 21:00,,,3,Україна,21,"Аврора #21 Охтирка, вул. Незалежності, 13"
22,1,200,UA,74,51.516667,31.280219,,A,10,10,22,48,N,26230,N,Y,СТАНДАРТ,uk,"вул. Льотна, 6-А",,Чернігів,,380675353959,ПН - НД 8:00 - 21:00,,,3,Україна,22,"Аврора #22 Чернігів, вул. Льотна, 6-А"
23,1,1630,UA,63,49.39839,36.21755,,A,10,10,23,0,N,18401,N,Y,СТАНДАРТ,uk,"м-р 1/2-й, 48",,Первомайський,,380675361244,ПН - НД 8:00 - 21:00,,,3,Україна,23,"Аврора #23 Первомайський, м-р 1/2-й, 48"
24,1,7580,UA,53,49.967131,33.607304,,A,10,10,24,0,N,14583,N,Y,СТАНДАРТ,uk,"вул. Воскресінська, 2",,Миргород,,380675318804,ПН - НД 8:00 - 19:00,,,3,Україна,24,"Аврора #24 Миргород, вул. Воскресінська, 2"
25,1,560,UA,12,48.474525,35.01156,,A,10,10,25,0,N,6562,N,Y,СТАНДАРТ,uk,"вул. Курчатова, 4",,Дніпро,,380671099928,ПН - НД 8:00 - 21:00,,,3,Україна,25,"Аврора #25 Дніпро, вул. Курчатова, 4"
26,1,5040,UA,12,48.52886331,35.86879942,,A,10,10,26,0,N,18125,N,Y,СТАНДАРТ,uk,"вул. Незалежності, 145-А/2",,Павлоград,,380675327295,ПН - НД 7:00 - 20:00,,,3,Україна,26,"Аврора #26 Павлоград, вул. Незалежності, 145-А/2"
27,1,3870,UA,61,48.643193,25.739343,,A,10,10,27,0,N,7883,N,Y,СТАНДАРТ,uk,"вул. В. Стефаника, 26-А/4",,Заліщики,,380671712517,ПН - НД 7:00 - 20:00,,,3,Україна,27,"Аврора #27 Заліщики, вул. В. Стефаника, 26-А/4"
28,1,5650,UA,74,51.0489,31.888612,,A,10,10,28,0,N,15822,N,Y,СТАНДАРТ,uk,"вул. Станіслава Прощенка, 1-Б",,Ніжин,,380675756549,ПН - НД 7:00 - 19:00,,,3,Україна,28,"Аврора #28 Ніжин, вул. Станіслава Прощенка, 1-Б"
30,1,7590,UA,53,50.37377,33.98378,,A,10,10,30,0,N,4505,N,Y,СТАНДАРТ,uk,"пл. Миру, 13-А",,Гадяч,,380675763474,ПН - НД 8:00 - 21:00,,,3,Україна,30,"Аврора #30 Гадяч, пл. Миру, 13-А"
31,1,5790,UA,71,48.750848,30.219344,,A,10,10,31,0,N,25059,N,Y,СТАНДАРТ,uk,"вул. Європейська, 1-А",,Умань,,380675558662,ПН - НД 8:00 - 20:00,,,3,Україна,31,"Аврора #31 Умань, вул. Європейська, 1-А"
32,1,6230,UA,59,51.248072,33.21766,,A,10,10,32,0,N,10597,N,Y,СТАНДАРТ,uk,"пл. Ринок, 19",,Конотоп,,380675762505,ПН - НД 8:00 - 21:00,,,3,Україна,32,"Аврора #32 Конотоп, пл. Ринок, 19"
33,1,4650,UA,35,48.11662,32.768767,,A,10,10,33,0,N,6786,N,Y,СТАНДАРТ,uk,"вул. Центральна, 135-А",,Долинська,,380675763429,ПН - НД 8:00 - 21:00,,,3,Україна,33,"Аврора #33 Долинська, вул. Центральна, 135-А"
34,1,7600,UA,53,49.599423,34.531069,,A,10,10,34,0,N,19657,N,N,СТАНДАРТ,uk,"вул. Соборності, 78",,Полтава,,380675096512,ПН - НД 7:00 - 21:00,,,3,Україна,34,"Аврора #34 Полтава, вул. Соборності, 78"
35,1,8150,UA,12,48.511676,35.075753,,A,10,10,35,0,N,6562,N,Y,СТАНДАРТ,uk,"вул. Артеківська, 20/14",,Дніпро,,380675397870,ПН - НД 7:00 - 21:00,,,3,Україна,35,"Аврора #35 Дніпро, вул. Артеківська, 20/14"
36,1,7610,UA,53,49.600833,34.496923,,A,10,10,36,0,N,19657,Y,Y,СТАНДАРТ,uk,"вул. Гожулівська, 4",,Полтава,,380675563354,ПН - НД 8:00 - 21:00,,,3,Україна,36,"Аврора #36 Полтава, вул. Гожулівська, 4"
37,1,4660,UA,35,48.671507,33.119851,,A,10,10,37,0,N,17458,N,Y,СТАНДАРТ,uk,"вул. Григорія Усика, 47",,Олександрія,,380671498925,ПН - НД 8:00 - 21:00,,,3,Україна,37,"Аврора #37 Олександрія, вул. Григорія Усика, 47"
38,1,10230,UA,53,49.455398,35.137808,,A,10,10,38,0,N,9604,N,Y,СТАНДАРТ,uk,"вул. Полтавський шлях, 46-і",,Карлівка,,380675039943,ПН - НД 7:00 - 20:00,,,3,Україна,38,"Аврора #38 Карлівка, вул. Полтавський шлях, 46-і"
39,1,2030,UA,35,48.720185,32.662532,,A,10,10,39,0,N,8558,N,Y,МАКСІ,uk,"вул. Кобзарева, 28-А",,Знам'янка,,380671763024,ПН - НД 8:00 - 20:00,,,3,Україна,39,"Аврора #39 Знам'янка, вул. Кобзарева, 28-А"
40,1,2900,UA,53,49.567568,34.530736,,A,10,10,40,0,N,19657,Y,Y,СТАНДАРТ,uk,"вул. Європейська, 104",,Полтава,,380675301851,ПН - НД 8:00 - 21:00,,,3,Україна,40,"Аврора #40 Полтава, вул. Європейська, 104"
41,1,4700,UA,35,49.051968,33.210851,,A,10,10,41,0,N,21725,N,Y,СТАНДАРТ,uk,"вул. Героїв України, 73-А",,Світловодськ,,380675762506,ПН - НД 8:00 - 21:00,,,3,Україна,41,"Аврора #41 Світловодськ, вул. Героїв України, 73-А"
42,1,5690,UA,74,50.5967,32.383787,,A,10,10,42,0,N,20084,N,Y,СТАНДАРТ,uk,"вул.Івана Скоропадського, 110",,Прилуки,,380674450631,ПН - НД 8:00 - 21:00,,,3,Україна,42,"Аврора #42 Прилуки, вул.Івана Скоропадського, 110"
43,1,4780,UA,35,48.663857,33.117238,,A,10,10,43,0,N,17458,N,Y,СТАНДАРТ,uk,"вул. Козацька, 47",,Олександрія,,380674401781,ПН - НД 8:00 - 21:00,,,3,Україна,43,"Аврора #43 Олександрія, вул. Козацька, 47"
45,1,540,UA,12,48.475678,35.015037,,A,10,10,45,0,N,6562,N,Y,СТАНДАРТ,uk,"пл. Вокзальна, 1",,Дніпро,,380980007238,ПН - НД 7:00 - 20:00,,,3,Україна,45,"Аврора #45 Дніпро, пл. Вокзальна, 1"
46,1,7630,UA,53,49.582873,34.593717,,A,10,10,46,0,N,19657,Y,Y,СТАНДАРТ,uk,"пл. Слави, 3В/1",,Полтава,,380675000652,ПН - НД 7:00 - 20:00,,,3,Україна,46,"Аврора #46 Полтава, пл. Слави, 3В/1"
48,1,4260,UA,23,47.813015,35.194832,,A,10,10,48,0,N,8003,N,Y,СТАНДАРТ,uk,"вул. Деповська, 126",,Запоріжжя,,380677875936,ПН - НД 7:00 - 20:00,,,3,Україна,48,"Аврора #48 Запоріжжя, вул. Деповська, 126"
49,1,980,UA,71,49.234576,31.88377,,A,10,10,49,0,N,22494,N,Y,СТАНДАРТ,uk,"бульв. графа О. Бобринського, 2",,Сміла,,380675373654,ПН - НД 8:00 - 21:00,,,3,Україна,49,"Аврора #49 Сміла, бульв. графа О. Бобринського, 2"
