street,number,name,amenity,craft,healthcare,historic,leisure,office,public_transport,shop,tourism,geometry
проспект Свободи,20,Національний музей у Львові,,,,,,,,,museum,"POLYGON ((24.0276306 49.8432171, 24.0276539 49.843155, 24.0276152 49.843149, 24.0276463 49.843066, 24.0276777 49.8429822, 24.0277254 49.8429897, 24.0277527 49.8429167, 24.0285468 49.8430406, 24.0284336 49.8433423, 24.0276306 49.8432171), (24.0282296 49.8432099, 24.0283245 49.8432247, 24.0283702 49.843103, 24.0282753 49.8430881, 24.0282296 49.8432099))"
Вірменська вулиця,35,Львівський музей історії релігії,,,,,,,,,museum,"POLYGON ((24.0336171 49.843526, 24.0336181 49.8435065, 24.0336243 49.8433885, 24.0336261 49.843359, 24.0336273 49.8433298, 24.0334939 49.8433163, 24.0335135 49.843255, 24.0336245 49.8432675, 24.0336804 49.8430768, 24.0338595 49.8431035, 24.0338854 49.8430304, 24.0341115 49.8430638, 24.0341399 49.8429837, 24.0341515 49.842951, 24.0343742 49.8429839, 24.0342603 49.8433582, 24.0343422 49.8433689, 24.0343314 49.8434173, 24.0336171 49.843526), (24.0339244 49.8432038, 24.0339025 49.8432784, 24.0340978 49.8433023, 24.0341198 49.8432277, 24.0339244 49.8432038))"
,,Храм Святої Трійці,place_of_worship,,,,,,,,,"POLYGON ((24.0422877 49.8353952, 24.0418367 49.8355017, 24.0417466 49.8353204, 24.041791 49.8353134, 24.0423255 49.8351961, 24.0425884 49.8351385, 24.0426785 49.8353094, 24.0429443 49.8352511, 24.0428544 49.8350806, 24.043078 49.8350315, 24.0432547 49.8353667, 24.0426125 49.8355076, 24.0427129 49.8356981, 24.0426095 49.8357208, 24.0425266 49.8355634, 24.0423919 49.835593, 24.0422877 49.8353952), (24.0424624 49.8353569, 24.0425284 49.8353424, 24.0424934 49.835276, 24.0424274 49.8352905, 24.0424624 49.8353569))"
,,Личаківський цвинтар,,,,memorial,,,,,,"POLYGON ((24.0533003 49.8353561, 24.0527459 49.8345405, 24.0522996 49.833882, 24.0520602 49.8336588, 24.0507536 49.8328776, 24.0503666 49.8326397, 24.0499289 49.8321673, 24.0518071 49.8316206, 24.0514459 49.8310153, 24.0532242 49.8306029, 24.0536634 49.8304908, 24.055018 49.8301421, 24.0550676 49.8301284, 24.057343 49.8294896, 24.0575252 49.82945, 24.0577546 49.8294341, 24.0579668 49.8294454, 24.0580465 49.8294576, 24.0581603 49.8294917, 24.0582592 49.8295347, 24.0583369 49.8295763, 24.058404 49.829616, 24.0584603 49.8296576, 24.0585139 49.8296983, 24.0586158 49.8296533, 24.0588063 49.8297433, 24.0588894 49.8298004, 24.0589645 49.8298644, 24.0591405 49.8300429, 24.0592107 49.8301268, 24.0592458 49.8301782, 24.0594157 49.8304922, 24.0594012 49.8305907, 24.0596216 49.8308994, 24.0611126 49.8319333, 24.061149 49.8320188, 24.0606692 49.8327719, 24.0604909 49.8330546, 24.0604059 49.833246, 24.0603788 49.8334397, 24.0604073 49.8338069, 24.0604423 49.8341343, 24.0579423 49.8348449, 24.0577296 49.8345239, 24.057512 49.8341954, 24.0533003 49.8353561), (24.058504 49.8297127, 24.0584563 49.8296659, 24.0583774 49.8296068, 24.0582626 49.8295407, 24.0581486 49.8294918, 24.0580417 49.829463, 24.0579131 49.8294463, 24.0577814 49.8294398, 24.0576487 49.8294461, 24.0574995 49.8294623, 24.0573495 49.8294968, 24.0571877 49.8295598, 24.0570672 49.8296311, 24.0569563 49.8297302, 24.0568954 49.8298143, 24.0568482 49.829935, 24.0568435 49.8300612, 24.0568893 49.8301982, 24.0569639 49.8303002, 24.0572554 49.8305318, 24.057369 49.8304959, 24.0575689 49.8307139, 24.0576515 49.8308892, 24.0577893 49.8308695, 24.0589053 49.8304604, 24.0589423 49.8305058, 24.0592373 49.8303977, 24.0589924 49.8301262, 24.059032 49.8301049, 24.0590585 49.8300603, 24.0590633 49.8299952, 24.0590156 49.8299369, 24.0589525 49.8298968, 24.058867 49.8298815, 24.0587916 49.8298908, 24.058601 49.8296729, 24.058504 49.8297127))"
Театральна вулиця,18,Львівський Державний Природознавчий Музей,,,,,,,,,museum,"POLYGON ((24.0289493 49.842662, 24.0290881 49.8424025, 24.0293623 49.8424602, 24.0297088 49.842533, 24.0296543 49.8426409, 24.0295784 49.8426249, 24.029567 49.8426474, 24.0295349 49.842711, 24.029501 49.8427781, 24.0294488 49.8427671, 24.0294127 49.8427595, 24.0293536 49.8427471, 24.0289493 49.842662), (24.0291977 49.842642, 24.0293303 49.8426709, 24.0294021 49.8425335, 24.0292696 49.8425047, 24.0291977 49.842642))"
вулиця Лесі Українки,45,,university,,,,,,,,,"POLYGON ((24.0345325 49.8435426, 24.0345617 49.8435734, 24.0345927 49.8436062, 24.0343893 49.8438529, 24.0342309 49.8437986, 24.0341696 49.8437777, 24.0340964 49.8437412, 24.0340864 49.8436906, 24.0339488 49.8437019, 24.0339717 49.8438182, 24.0338917 49.8438247, 24.0338485 49.8436058, 24.0345325 49.8435426), (24.0342037 49.8436868, 24.0342124 49.8437229, 24.0342634 49.8437397, 24.0343205 49.8436972, 24.0342982 49.8436788, 24.0342037 49.8436868))"
проспект Святого Івана Павла II,35б,"Готель ""Патріарший""",,,,,,,,,motel,"POLYGON ((24.0363463 49.8041552, 24.0360441 49.8042117, 24.0356194 49.804291, 24.0355216 49.8040731, 24.0356697 49.8038238, 24.035884 49.8037436, 24.0358665 49.8036987, 24.0359523 49.8036848, 24.036038 49.8036709, 24.0360549 49.8037143, 24.0361055 49.8037061, 24.0361146 49.8037296, 24.0362279 49.8037112, 24.0362583 49.8037341, 24.0362844 49.8037969, 24.0362838 49.8038348, 24.0361528 49.8038592, 24.0361901 49.8039425, 24.0362462 49.803932, 24.0363463 49.8041552), (24.0359908 49.8038886, 24.035848 49.803949, 24.0357699 49.8040745, 24.0357997 49.8041406, 24.0359941 49.8041041, 24.0360219 49.8040989, 24.0360003 49.804051, 24.036059 49.80404, 24.0359908 49.8038886))"
вулиця Гетьмана Івана Мазепи,1а,Середня загальноосвітня школа № 81,school,,,,,,,,,"POLYGON ((24.0257059 49.8716098, 24.026222 49.871699, 24.0265979 49.871764, 24.0264396 49.8721442, 24.0255477 49.87199, 24.0257059 49.8716098), (24.0259858 49.8717786, 24.0259102 49.871965, 24.0263102 49.8720323, 24.0263858 49.871846, 24.0259858 49.8717786))"
Соборна площа,14,Торговий центр «Роксолана»,,,,,,,,mall,,"POLYGON ((24.0339779 49.8386734, 24.0339661 49.8387657, 24.0338366 49.8387991, 24.0338653 49.8384283, 24.0338744 49.8383247, 24.0342302 49.838321, 24.0344922 49.8383183, 24.0344167 49.8384666, 24.0343605 49.8386216, 24.0339779 49.8386734), (24.0342535 49.8384353, 24.0342346 49.8385901, 24.0343221 49.8385924, 24.0343576 49.8384383, 24.0342535 49.8384353))"
,,Геологічний та біологічний факультети,university,,,,,,,,,"POLYGON ((24.0314151 49.8342281, 24.0312743 49.8341328, 24.0319897 49.833702, 24.0325169 49.834065, 24.0322298 49.8342385, 24.0320169 49.8343671, 24.0319537 49.8344053, 24.0319064 49.8343727, 24.0315663 49.8341386, 24.0314373 49.8342166, 24.0314151 49.8342281), (24.0317677 49.8341092, 24.0319666 49.834242, 24.0322653 49.8340558, 24.0320664 49.8339231, 24.0317677 49.8341092))"
