cell,city,geometry,wkt
881e7159e9fffff,Ярмолинці,"POLYGON ((26.83393817535367 49.192988306649454, 26.831006003462306 49.18881271258047, 26.835511832520552 49.185090625437915, 26.842949526656934 49.18554397209035, 26.84588219326962 49.18971941747057, 26.84137667112767 49.193441664895374, 26.83393817535367 49.192988306649454))","POLYGON ((26.83393817535367 49.192988306649454, 26.831006003462306 49.18881271258047, 26.835511832520552 49.185090625437915, 26.842949526656934 49.18554397209035, 26.84588219326962 49.18971941747057, 26.84137667112767 49.193441664895374, 26.83393817535367 49.192988306649454))"
881e6d3a5bfffff,Тростянець,"POLYGON ((34.95934457201796 50.473494753294666, 34.9559820377514 50.46966342191496, 34.9600323013673 50.46574642329608, 34.967444522475596 50.46566064664117, 34.97080731764136 50.46949179405607, 34.96675763090502 50.473408902089304, 34.95934457201796 50.473494753294666))","POLYGON ((34.95934457201796 50.473494753294666, 34.9559820377514 50.46966342191496, 34.9600323013673 50.46574642329608, 34.967444522475596 50.46566064664117, 34.97080731764136 50.46949179405607, 34.96675763090502 50.473408902089304, 34.95934457201796 50.473494753294666))"
881e6824dbfffff,Полтава,"POLYGON ((34.49924943744107 49.5775947405843, 34.49594689021918 49.573692555901914, 34.499979914826724 49.56974745420974, 34.507314936754156 49.569704427664824, 34.510617752913916 49.57360642919814, 34.506585278310624 49.577551640424744, 34.49924943744107 49.5775947405843))","POLYGON ((34.49924943744107 49.5775947405843, 34.49594689021918 49.573692555901914, 34.499979914826724 49.56974745420974, 34.507314936754156 49.569704427664824, 34.510617752913916 49.57360642919814, 34.506585278310624 49.577551640424744, 34.49924943744107 49.5775947405843))"
881e6c32c3fffff,Ромни,"POLYGON ((33.49082533801754 50.7484969657831, 33.487509757833834 50.7446287491458, 33.49168232289499 50.74076430231046, 33.499169929235556 50.74076794895316, 33.50248582003906 50.74463598490492, 33.49831379399114 50.74850055489976, 33.49082533801754 50.7484969657831))","POLYGON ((33.49082533801754 50.7484969657831, 33.487509757833834 50.7446287491458, 33.49168232289499 50.74076430231046, 33.499169929235556 50.74076794895316, 33.50248582003906 50.74463598490492, 33.49831379399114 50.74850055489976, 33.49082533801754 50.7484969657831))"
881e652d99fffff,Чернігів,"POLYGON ((31.283317311257992 51.49889221417866, 31.280064592313032 51.49499406619778, 31.284436616870398 51.491231697709445, 31.292060879339196 51.49136733360056, 31.29531398777246 51.49526530727259, 31.290942444363345 51.49902781936514, 31.283317311257992 51.49889221417866))","POLYGON ((31.283317311257992 51.49889221417866, 31.280064592313032 51.49499406619778, 31.284436616870398 51.491231697709445, 31.292060879339196 51.49136733360056, 31.29531398777246 51.49526530727259, 31.290942444363345 51.49902781936514, 31.283317311257992 51.49889221417866))"
881e6bd86bfffff,Кременчук,"POLYGON ((33.41802369528879 49.070205894975786, 33.414787669941134 49.06623466219279, 33.418868967097566 49.06229647347614, 33.42618577735866 49.06232940082436, 33.42942210139701 49.06630045318312, 33.42534131658524 49.07023875861845, 33.41802369528879 49.070205894975786))","POLYGON ((33.41802369528879 49.070205894975786, 33.414787669941134 49.06623466219279, 33.418868967097566 49.06229647347614, 33.42618577735866 49.06232940082436, 33.42942210139701 49.06630045318312, 33.42534131658524 49.07023875861845, 33.41802369528879 49.070205894975786))"
881e695317fffff,Полтава,"POLYGON ((34.57662467182131 49.57319598473116, 34.57331926082885 49.56929639542156, 34.57734647239323 49.56534907487567, 34.584678542982815 49.56530123479421, 34.58798422044409 49.56920064077425, 34.58395756094907 49.57314807016453, 34.57662467182131 49.57319598473116))","POLYGON ((34.57662467182131 49.57319598473116, 34.57331926082885 49.56929639542156, 34.57734647239323 49.56534907487567, 34.584678542982815 49.56530123479421, 34.58798422044409 49.56920064077425, 34.58395756094907 49.57314807016453, 34.57662467182131 49.57319598473116))"
881e6d8447fffff,Суми,"POLYGON ((34.79567657661438 50.926762974743966, 34.792298748327816 50.922953337819116, 34.79638736733796 50.919061555342914, 34.803853234977815 50.918979296764334, 34.80723133291856 50.92278874997278, 34.803143293673 50.92668064547493, 34.79567657661438 50.926762974743966))","POLYGON ((34.79567657661438 50.926762974743966, 34.792298748327816 50.922953337819116, 34.79638736733796 50.919061555342914, 34.803853234977815 50.918979296764334, 34.80723133291856 50.92278874997278, 34.803143293673 50.92668064547493, 34.79567657661438 50.926762974743966))"
881e6d8463fffff,Суми,"POLYGON ((34.78554405161374 50.91533298250732, 34.78216718314219 50.91152226417238, 34.786255877096686 50.90763021655925, 34.793720860343456 50.907548774222164, 34.79709799871221 50.91135930886301, 34.79300988404469 50.91525146953377, 34.78554405161374 50.91533298250732))","POLYGON ((34.78554405161374 50.91533298250732, 34.78216718314219 50.91152226417238, 34.786255877096686 50.90763021655925, 34.793720860343456 50.907548774222164, 34.79709799871221 50.91135930886301, 34.79300988404469 50.91525146953377, 34.78554405161374 50.91533298250732))"
881e6bda23fffff,Кременчук,"POLYGON ((33.426044404571854 49.097931385470055, 33.42280682695557 49.09396205352353, 33.42688910557819 49.090024847312314, 33.43420844895973 49.09005685629409, 33.43744632524449 49.09402600780201, 33.43336455958099 49.0979633307673, 33.426044404571854 49.097931385470055))","POLYGON ((33.426044404571854 49.097931385470055, 33.42280682695557 49.09396205352353, 33.42688910557819 49.090024847312314, 33.43420844895973 49.09005685629409, 33.43744632524449 49.09402600780201, 33.43336455958099 49.0979633307673, 33.426044404571854 49.097931385470055))"
